"날짜","현재가","오픈","고가","저가","거래량","변동 %"
"2017년 04월 27일","287.34","285.80","287.76","285.52","83.54M","0.20%"
"2017년 04월 26일","286.78","286.04","287.22","285.79","84.11M","0.48%"
"2017년 04월 25일","285.41","282.17","285.47","282.00","76.98M","1.22%"
"2017년 04월 24일","281.96","281.66","282.04","280.81","68.13M","0.68%"
"2017년 04월 21일","280.05","279.44","280.89","278.80","60.45M","0.82%"
"2017년 04월 20일","277.76","276.32","278.04","275.75","69.51M","0.46%"
"2017년 04월 19일","276.49","277.66","278.07","275.97","65.26M","-0.63%"
"2017년 04월 18일","278.23","279.36","279.42","277.05","54.71M","0.05%"
"2017년 04월 17일","278.10","278.06","279.06","277.49","47.71M","0.28%"
"2017년 04월 14일","277.31","277.59","278.14","276.12","44.58M","-0.65%"
"2017년 04월 13일","279.12","276.38","279.12","275.66","74.10K","1.05%"
"2017년 04월 12일","276.21","276.11","276.43","275.28","57.61K","0.26%"
"2017년 04월 11일","275.49","276.55","277.46","275.01","59.39K","-0.62%"
"2017년 04월 10일","277.21","278.69","278.69","276.50","59.92K","-0.65%"
"2017년 04월 07일","279.01","279.64","279.82","277.63","65.06K","-0.16%"
"2017년 04월 06일","279.47","279.57","279.81","278.20","56.81K","-0.45%"
"2017년 04월 05일","280.74","280.99","281.36","278.76","72.39K","-0.06%"
"2017년 04월 04일","280.92","281.25","281.77","280.32","59.58K","-0.24%"
"2017년 04월 03일","281.60","281.51","282.35","280.85","56.54K","0.34%"
"2017년 03월 31일","280.64","282.03","282.09","280.63","59.37K","-0.36%"
"2017년 03월 30일","281.66","282.44","283.11","280.95","58.29K","-0.07%"
"2017년 03월 29일","281.86","282.52","282.54","281.27","68.20K","0.22%"
"2017년 03월 28일","281.25","281.85","282.24","280.50","62.56K","0.32%"
"2017년 03월 27일","280.36","281.10","281.79","279.98","70.91K","-0.69%"
"2017년 03월 24일","282.31","282.66","284.00","281.49","71.00K","-0.18%"
"2017년 03월 23일","282.81","283.29","284.38","282.58","76.37K","0.06%"
"2017년 03월 22일","282.63","281.07","282.66","280.85","89.31K","-0.43%"
"2017년 03월 21일","283.84","281.54","284.40","281.23","82.82K","1.10%"
"2017년 03월 20일","280.75","281.08","281.16","280.00","59.32K","-0.39%"
"2017년 03월 17일","281.86","280.02","281.95","279.65","86.56K","0.62%"
"2017년 03월 16일","280.11","280.99","281.35","279.26","86.73K","0.80%"
"2017년 03월 15일","277.89","276.91","278.22","276.78","72.42K","0.00%"
"2017년 03월 14일","277.89","276.80","278.20","276.51","80.67K","0.90%"
"2017년 03월 13일","275.41","273.03","276.25","272.79","72.08K","1.15%"
"2017년 03월 10일","272.29","271.08","273.00","270.24","67.63K","0.25%"
"2017년 03월 09일","271.62","272.73","272.97","271.56","71.72K","-0.25%"
"2017년 03월 08일","272.29","271.65","273.21","271.32","68.17K","0.15%"
"2017년 03월 07일","271.87","270.22","272.45","269.96","69.48K","0.54%"
"2017년 03월 06일","270.41","269.07","270.74","268.36","72.12K","0.24%"
"2017년 03월 03일","269.77","271.03","271.48","268.77","78.08K","-1.06%"
"2017년 03월 02일","272.65","272.14","273.34","271.35","105.76K","0.96%"
"2017년 02월 28일","270.06","269.27","270.62","269.10","88.89K","0.41%"
"2017년 02월 27일","268.97","270.35","270.62","268.72","81.08K","-0.52%"
"2017년 02월 24일","270.38","272.61","272.84","269.76","116.67K","-0.92%"
"2017년 02월 23일","272.89","272.61","273.18","272.18","64.49K","0.01%"
"2017년 02월 22일","272.85","272.61","273.15","271.96","64.58K","0.27%"
"2017년 02월 21일","272.11","269.90","273.13","269.70","61.71K","0.88%"
"2017년 02월 20일","269.73","269.41","269.92","268.57","54.54K","0.33%"
"2017년 02월 17일","268.84","267.60","269.02","267.60","59.75K","-0.03%"
"2017년 02월 16일","268.93","269.48","270.22","268.32","65.40K","0.04%"
"2017년 02월 15일","268.81","267.64","269.47","267.06","75.72K","0.34%"
"2017년 02월 14일","267.90","268.82","269.34","267.05","68.62K","-0.34%"
"2017년 02월 13일","268.81","268.48","268.85","267.88","71.07K","0.06%"
"2017년 02월 10일","268.66","269.04","269.72","268.43","83.14K","0.36%"
"2017년 02월 09일","267.69","267.99","268.91","267.21","72.70K","-0.01%"
"2017년 02월 08일","267.72","268.51","268.56","265.76","64.57K","-0.46%"
"2017년 02월 07일","268.97","269.52","269.68","268.51","71.25K","-0.19%"
"2017년 02월 06일","269.49","270.65","271.08","268.75","71.64K","0.24%"
"2017년 02월 03일","268.85","269.10","269.62","267.37","71.59K","0.13%"
"2017년 02월 02일","268.49","269.63","271.25","268.01","76.73K","-0.40%"
"2017년 02월 01일","269.56","269.16","269.97","268.87","65.87K","0.55%"
"2017년 01월 31일","268.09","269.61","270.00","268.09","69.68K","-0.88%"
"2017년 01월 26일","270.48","269.15","271.21","268.47","70.10K","0.87%"
"2017년 01월 25일","268.15","268.65","269.04","267.28","63.44K","0.32%"
"2017년 01월 24일","267.30","267.79","268.25","266.24","54.35K","0.07%"
"2017년 01월 23일","267.12","266.77","267.84","265.53","56.74K","0.23%"
"2017년 01월 20일","266.52","266.45","267.35","266.18","55.38K","-0.44%"
"2017년 01월 19일","267.70","269.30","270.01","266.39","59.53K","0.23%"
"2017년 01월 18일","267.08","267.64","267.96","265.37","56.66K","-0.11%"
"2017년 01월 17일","267.37","266.65","268.53","266.33","64.80K","0.46%"
"2017년 01월 16일","266.15","267.71","268.53","265.37","63.88K","-0.66%"
"2017년 01월 13일","267.91","268.34","268.68","267.66","61.59K","-0.76%"
"2017년 01월 12일","269.95","268.48","269.95","267.93","70.69K","0.67%"
"2017년 01월 11일","268.15","264.24","268.91","264.18","76.59K","1.68%"
"2017년 01월 10일","263.73","263.15","263.88","262.83","60.75K","-0.00%"
"2017년 01월 09일","263.74","263.83","264.55","263.34","59.18K","0.21%"
"2017년 01월 06일","263.20","263.01","263.61","262.66","56.57K","0.47%"
"2017년 01월 05일","261.98","262.88","262.94","261.64","78.82K","-0.43%"
"2017년 01월 04일","263.12","263.19","263.27","262.47","68.77K","0.06%"
"2017년 01월 03일","262.97","261.55","263.00","260.72","61.84K","1.00%"
"2017년 01월 02일","260.36","259.42","261.21","258.64","36.91K","0.13%"
"2016년 12월 29일","260.01","259.02","260.04","258.62","48.69K","0.12%"
"2016년 12월 28일","259.70","259.65","260.59","259.52","54.26K","-1.06%"
"2016년 12월 27일","262.49","262.35","262.85","261.79","52.54K","0.23%"
"2016년 12월 26일","261.90","261.83","262.27","261.36","45.26K","0.11%"
"2016년 12월 23일","261.61","262.10","262.26","261.30","46.54K","-0.14%"
"2016년 12월 22일","261.97","262.71","262.92","261.66","53.38K","-0.05%"
"2016년 12월 21일","262.10","263.76","264.42","262.10","62.17K","-0.19%"
"2016년 12월 20일","262.59","262.78","263.26","262.14","51.20K","0.25%"
"2016년 12월 19일","261.93","262.03","263.22","261.86","46.96K","-0.24%"
"2016년 12월 16일","262.56","261.59","262.91","261.16","60.48K","0.42%"
"2016년 12월 15일","261.45","259.90","262.08","259.82","55.04K","-0.21%"
"2016년 12월 14일","262.00","262.64","262.86","261.12","55.93K","0.14%"
"2016년 12월 13일","261.63","260.38","261.72","260.08","77.99K","0.35%"
"2016년 12월 12일","260.72","261.59","261.69","259.89","56.95K","-0.07%"
"2016년 12월 09일","260.91","261.24","261.29","260.34","58.35K","-0.42%"
"2016년 12월 08일","262.00","258.79","262.00","258.63","74.29K","2.21%"
"2016년 12월 07일","256.34","256.57","257.05","255.96","54.70K","0.28%"
"2016년 12월 06일","255.63","253.88","256.27","253.85","61.48K","1.38%"
"2016년 12월 05일","252.14","252.12","253.04","251.52","50.36K","-0.29%"
"2016년 12월 02일","252.88","253.93","254.22","252.06","55.14K","-0.63%"
"2016년 12월 01일","254.48","254.84","255.23","254.06","59.35K","0.09%"
"2016년 11월 30일","254.26","253.20","255.00","252.86","67.94K","0.53%"
"2016년 11월 29일","252.91","252.98","253.63","252.32","50.82K","-0.02%"
"2016년 11월 28일","252.96","252.46","253.63","250.87","45.86K","0.28%"
"2016년 11월 25일","252.26","252.19","252.84","251.64","44.61K","0.09%"
"2016년 11월 24일","252.03","253.22","253.71","251.44","53.64K","-0.64%"
"2016년 11월 23일","253.66","253.09","254.71","252.22","68.30K","0.51%"
"2016년 11월 22일","252.37","250.85","252.85","250.47","62.53K","1.15%"
"2016년 11월 21일","249.51","249.70","250.80","248.93","55.39K","-0.28%"
"2016년 11월 18일","250.21","250.90","251.02","249.23","78.55K","-0.10%"
"2016년 11월 17일","250.46","249.62","250.86","248.71","67.35K","0.06%"
"2016년 11월 16일","250.32","250.93","251.54","250.23","79.97K","0.45%"
"2016년 11월 15일","249.20","250.39","250.93","249.18","87.82K","-0.32%"
"2016년 11월 14일","250.01","251.59","252.36","250.00","100.35K","-0.79%"
"2016년 11월 11일","251.99","252.93","253.88","251.90","101.51K","-1.30%"
"2016년 11월 10일","255.31","253.80","255.31","252.64","119.32K","2.26%"
"2016년 11월 09일","249.67","255.83","257.03","246.51","123.18K","-2.19%"
"2016년 11월 08일","255.26","256.20","256.31","254.10","46.85K","0.26%"
"2016년 11월 07일","254.60","254.79","255.42","254.00","49.04K","0.80%"
"2016년 11월 04일","252.57","252.85","253.29","251.86","44.62K","-0.13%"
"2016년 11월 03일","252.90","252.44","253.74","251.72","56.22K","0.03%"
"2016년 11월 02일","252.83","254.27","254.77","252.33","67.05K","-1.23%"
"2016년 11월 01일","255.99","255.35","256.30","253.51","71.63K","0.02%"
"2016년 10월 31일","255.93","255.60","256.66","255.21","59.12K","-0.23%"
"2016년 10월 28일","256.53","256.45","257.30","255.89","53.17K","-0.05%"
"2016년 10월 27일","256.66","256.25","256.99","255.62","68.40K","0.45%"
"2016년 10월 26일","255.52","257.73","257.73","254.13","65.63K","-1.18%"
"2016년 10월 25일","258.57","258.79","258.92","257.82","68.93K","-0.35%"
"2016년 10월 24일","259.48","257.83","259.48","257.76","53.74K","0.86%"
"2016년 10월 21일","257.26","258.16","258.39","256.82","52.58K","-0.45%"
"2016년 10월 20일","258.41","258.55","259.28","257.80","60.71K","0.08%"
